既能养心安神，又能敛汗的药物是,C,酸枣仁,柏子仁,龙骨,磁石,
不可持续服用，且忌火煅的药物,B,牡蛎,朱砂,龙骨,磁石,
具有燥湿利水作用的补气药是,D,人参,黄芪,山药,白术,
治疗脾虚中气下陷，内脏下垂，首选,D,甘草,人参,白术,黄芪,
肺肾两虚之喘咳，宜选用,A,五味子,乌梅,麻黄,山茱萸,
主治阴血亏虚之心烦、失眠、惊悸的药是,B,丹参,酸枣仁,龙眼肉,大枣,
功能活血行气，祛风止痛，上行头目可治头风头痛，下达血海可治痛经闭经，中开郁结可治胸痹胁痛的药是,D,牛膝,丹参,三棱,川芎,
丹参有“小四物”之称，其功效是,C,活血化瘀，养血安神，凉血止痛，利水消肿,活血化瘀，养血安神，润肠通便，利水消肿,活血化瘀，养血安神，凉血止痛，清热消肿,活血化瘀，养血安神，润肠通便，清热消肿,
南沙参与北沙参的不同点是,B,凉血活血与养血敛阴,兼能化痰与长于补阴,平降肝阳与清热平肝,行气之功与破血之力,
逍遥散的功效是,B,抑肝扶脾，理气止痛,疏肝解郁，健脾和营,透邪解郁，疏肝理脾,疏肝健脾，活血调经,
治疗表虚自汗，易感风邪者，宜选用,A,玉屏风散,牡蛎散,桂枝汤,补中益气汤,
二陈汤的君药是,A,半夏,茯苓,桔红,半夏和桔红,
治疗痰热内闭，神昏谵语，身热烦躁，痰甚气粗，舌红，苔黄垢腻，脉滑数者，首选,B,紫雪,安宫牛黄丸,至宝丹,苏合香丸,
大承气汤的煎法是,D,先煎大黄，再入枳实，芒硝冲服,先煎枳实、厚朴，再大黄、芒硝,先煎枳实、厚朴、大黄，芒硝冲服,先煎枳实、厚朴，再入大黄、芒硝冲服,
乌梅丸主治下列何证,B,咳喘,蛔厥,疳积,消渴,
我国现存最古老的一部方剂学书是,A,《五十二病方》,《备急千金要方》,《肘后方》,《伤寒杂病论》,
保和丸中配伍连翘的意义是,D,清热透表,清透邪热,清热解毒,清热散结,
血府逐瘀汤主治证的病机是,C,瘀阻头面,瘀阻膈下,瘀阻胸中,瘀阻少腹,
麻黄汤为发汗之,B,要剂,峻剂,缓剂,轻剂,
桂枝汤中桂枝的作用是,A,解肌散寒,养阴和营,温阳益气,温肾散寒,
疏散外风剂常配养血活血药，其机理可用下列哪句话概括说明,D,风乘虚而入，正旺邪自除,治风先活血，血活则风散,风胜易伤血，血足风自熄,治风先治血，血行风自灭,
通常治疗热证用寒药时应,B,热服,冷服,温服,顿服,
大黄取其攻下作用，其煎法宜,D,先煎,包煎,另煎,后下,
最能体现“釜底抽薪”、“急下存阴”法的方剂是,B,大黄附子汤,大承气汤,十枣汤,新加黄龙汤,
十枣汤服用的最佳时间是,A,清晨空腹服,饭前服,睡前服,不拘时间,
具有清营解毒，透热养阴功用的方剂是,B,犀角地黄汤,清营汤,竹叶石膏汤,紫雪丹,
不宜饮用仙方活命饮的病证是,B,阳证疮疡肿毒初起,阴性疮疡肿毒,疮疡脓已成,疮疡红肿焮痛,
白头翁汤除具有清热解毒功用外，还有,D,行气止痢,调和气血,养血滋阴,凉血止痢,
青蒿鳖甲汤的功用是,D,滋阴清热,养阴生津,滋阴降火,养阴透热,
下列症状除哪项外，均属当归四逆汤的主治证之范畴,C,手足厥冷,肢体痹痛,腹痛下利,脉象沉细,
六味地黄丸中熟地、山萸肉、山药的用量是,B,熟地八钱、山萸肉八钱、山药八钱,熟地八钱、山萸肉四钱、山药四钱,山萸肉八钱、熟地四钱、山药四钱,山萸肉八钱、熟地八钱、山药四钱,
安宫牛黄丸的功用是,A,清热开窍，豁痰解毒,清热解毒，开窍安神,清热开窍，熄风止痉,开窍定惊，清热化痰,
牡蛎散的功用是,C,平肝熄风,重镇安神,固表敛汗,制酸止痛,
下列哪项不是滚痰丸的组成药物,D,礞石,大黄,黄芩,黄连,
十二经脉中凡属六脏及循环于肢体内侧的经脉为,A,阴经,阳经,足太阴经,任脉,
十二经脉分布于头面、躯干、四肢，纵贯全身，呈（    ）分布,B,上下,左右,前后,内外,
络脉中最细小的分支称为,A,孙络,支络,浮络,别络,
主司关节运动，联系四肢百骸的是,D,十二正经,十二皮部,十二经别,十二经筋,
两眉头的中间是,B,攒竹,印堂,鱼腰,太冲,
十二经脉在体内与脏腑相连属，手阳明大肠经属大肠络肺，与（   ）相表里,D,冲脉,任脉,阳跷脉,手太阴肺经,
十二经脉循行交接中，相互衔接的阴经与阴经在 （    ）交接,A,胸中,头面,食指,足小趾端下,
阴经是指,A,六脏的经脉,六腑的经脉,督、带脉,循行胸腹经脉,
分布于四肢外侧和头面、躯干的经脉是,C,阴经,阴维脉,阳经,带脉,
奇经八脉中除（   ）横向循行外，均为纵向循行，纵横交错循行分布于十二经脉之间,C,督脉,任脉,带脉,交会穴,
下列晕针处理方法中错误的是,A,患者平卧，头部垫高,注意通风、保暖,予饮温开水或糖开水,针刺人中、内关、足三里等穴,
位于桡骨茎突上方，腕横纹上寸的穴位是,C,尺泽,孔最,列缺,经渠,
"临床根据头部经脉分布特点辨证归经，痛在两侧者多与 （
） 有关",A,少阳经,太阳经,阳明经,督脉,
合谷穴不仅治疗手部病症，还能治疗本经所过的颈部和头面部病症，这是,B,近治作用,远治作用,循经治疗,特殊作用,
"针刺内关穴可治疗心动过缓,又可治疗心动过速,这是",D,近治作用,远治作用,循经治疗,特殊作用,
在下列穴位中，治疗胎位不正的是,B,至阳,至阴,会阳,肩井,
肌肉薄浅部位腧穴进针法应用,D,夹持进针法,指切进针法,双手进针法,提捏进针法,
耳穴在耳郭的分布有一定的规律，其中与上肢相应的穴位在,B,耳垂,耳舟,对耳轮体,三角窝,
强调“动形养生”的思想，创立“五禽戏”，一般认为始于,A,华佗,李时珍,孙思邈,扁鹊,
说明阴阳平衡是保持和恢复健康必要条件的语句是,B,得谷则昌，失谷则亡,阳平阳秘，精神乃治,年四十而阴气自半也，起居衰矣,阳非有余，阳亦不足,
中医言：“肝为百病之贼”，此“肝”字实即为,D,思,恐,悲,怒,
四季调摄与脏腑有密切的关系，中医认为春季通,B,心,肝,脾,肾,
食物归经是指食物对脏腑经络的选择作用，如梨、香蕉、桑椹、猕猴桃等都具有生津清热作用，梨侧重于清热的脏器是,A,肺,脾,心,大肠,
中医养生学主张睡眠要讲究睡姿和睡眠的方位，主张一般人宜,D,右侧屈膝侧卧，北向而卧,左侧屈膝侧卧，南向而卧,左侧屈膝侧卧，北向而卧,右侧屈膝侧卧，东向或西向而卧,
临床见瘦小或瘦长体型，怕热，手足心热；皮肤偏干或偏油，肤色苍或赤，面部偏红或颧红，大便偏干或秘结，小便短黄；舌体瘦小，色红少苔，脉细数。性情急躁易怒者为,C,阳虚质,湿热质,阴虚质,阳热质,
饮食宜合理搭配，切忌偏食，以下食物体现相须相使作用是,A,冬虫夏草与老鸭相配,螃蟹常配以生姜,人参恶萝卜,柿子与蟹,
扶正药中，凡能补助人体阳气，改善虚寒体质，治疗阳虚证候的药物称助阳药，其中以下不属于常用助阳药的是,A,人参,紫河车,肉苁蓉,鹿茸,
修生养性是情志调节中“清净法”之一，它是指,D,勿思虑过度,音乐欣赏,书法绘画,道德品质的培养,
从人体脏腑、情志与五行配属的关系出发，根据五行相克的原理，以一种情志活动调节与控制另一种情志活动，从而达到消除过激情志与不良情志的目的，称为,C,抑情顺理,情志导引,情志相胜,D,
食物五味对人体的五脏有特定的亲和力，辛先入,D,脾,心,肾,肺,
根据病人的体质、疾病证候，结合食物的性味功效选择不同的食物进行调护，称为,C,饮食随和,治疗饮食,辨证施食,饮食有节,
感冒是由于六淫、时行病毒侵袭人体而致病，以（    ）邪为主因，兼夹它邪,A,风,寒,暑,湿,
治疗风热感冒的中药代表方剂是,C,新加香薷饮,荆防败毒散,银翘散,桑菊饮,
治疗气虚感冒方药是,D,荆防败毒散,银翘散,新加香薷饮,参苏饮,
下列感冒的护理措施中哪项是不正确的,C,外感风寒汤药宜热服，服药后卧床休息，盖被以利汗出,服发汗药后忌服酸醋、生冷之品,外感发热邪在卫分者可用酒精擦浴或冷敷,恶寒、发热无汗者，可行背部捏脊，或按揉风池、合谷、大椎、曲池等穴,
喘证的病因主要可概括为外感与内伤两类，以下哪项不是喘证发病因素,D,外邪侵袭,饮食不当,情志不调,正气不足,
实喘的主要病变脏腑是,C,肾,心,肺,脾,
喘证患者证见喘息，呼吸气促，胸部胀闷，咳嗽，痰多稀薄色白，兼有头痛鼻塞，恶寒无汗，舌苔薄白，脉浮紧。证属,D,痰浊阻肺,肺气郁痹,表寒里热,风寒袭肺,
喘证患者表现为喘咳上气，胸胀或痛，息粗鼻煽，咳而不爽，吐痰粘稠，伴形寒身热，烦闷身痛，舌边红，脉浮数或滑。在治疗时应选用下列哪种方剂,B,麻黄汤加减,麻杏石甘汤加减,桑白皮汤加减,二陈汤合三子养亲汤加减,
喘咳日久，动则气喘尤甚，呼多吸少，气不得续，腰酸肢冷，汗出心悸，苔腻，脉沉弱。此属何证？,A,肾虚喘证,肺虚喘证,痰浊阻肺型喘证,表寒里热型喘证,
肾虚喘证的主要代表方是,D,二陈汤合三子养亲汤加减,五磨子饮加减,补肺汤合玉屏风散,金匮肾气丸合参蛤散加减,
喘促短气，气怯声低，喉有鼾声，咳声低弱，痰吐稀薄，自汗畏风，极易感冒，治疗此类喘证患者应选用哪种方剂,C,桑白皮汤,五磨子饮,补肺汤合玉屏风散,麻杏石甘汤,
麻黄汤主要用于治疗以下哪种情况的喘证患者,A,喘息气促，胸部胀闷，咳嗽，痰多稀薄色白，兼有头痛，无汗，恶寒，或伴发热，口不渴，舌苔薄白，脉浮紧,喘咳上气，胸胀或痛，息粗，鼻煽，咳而不爽，吐痰粘稠，伴形寒，身热，烦闷，口渴，舌苔薄白或黄，舌边红，脉浮数或滑,喘咳气涌，胸部胀痛，痰多粘稠色黄，或夹血色，伴胸中烦热，身热，有汗，渴喜冷饮，面红，咽干，尿赤，苔黄或腻，脉滑数,喘而胸满闷窒，甚则胸盈仰息，咳嗽，痰多粘腻色白，咯吐不利，兼有呕恶纳呆，口粘不渴，苔厚腻色白，脉滑,
"鼻燥衄血，口干咽燥，或兼有身热，咳嗽痰少，舌质红，脉数,应选哪种方药",A,桑杏汤,桑菊饮,玉女煎,归脾汤,
鼻衄，或兼齿衄，血色鲜红，口渴欲饮，口干秽臭，烦躁，便秘，舌红苔黄，脉数。属于鼻衄何种证型,B,热邪犯肺,胃热炽盛,肝火上炎,血亏虚,
归脾汤主要用于治疗哪种情况的鼻衄患者,D,鼻燥衄血，口干咽燥，或兼有身热，咳嗽痰少等症，舌质红，苔薄，脉数,鼻衄，或兼齿衄，血色鲜红，口渴欲饮，鼻干，口干秽臭，烦躁，便秘，舌红苔黄，脉数,鼻衄，头痛，目眩，耳鸣，烦躁易怒，两目红赤，口苦，舌红，脉脉弦数,鼻衄，或兼齿衄，神疲乏力，面色晄白，头晕耳鸣，心悸，夜寐不宁，舌质淡，脉细无力,
咳血患者见咳嗽痰少，痰中带血或反复咯血，血色鲜红，颧红，潮热盗汗，舌质红，脉细数。治疗应选用哪种方药,D,龙胆泻肝汤,桑杏汤,泻白散合参蛤散,百合固金汤加减,
咳血见痰中带血或纯血鲜红，胸胁胀痛，烦躁易怒，口苦，舌质红，苔薄黄，脉弦。属于咳血哪一类证型,B,燥热伤肺,肝火犯肺,胃热壅盛,阴虚肺热,
便血是血从肛门排出体外，大便前或大便后下血，或单纯下血，或与粪便混杂而下，均由（    ）所致,A,胃、肠脉络受损,下焦湿热,胃火炽盛,燥热伤津,
便血色红或紫黯，食少体倦，面色萎黄，心悸少寐，舌淡，脉细。当选用哪种方药,C,黄土汤,地榆散,归脾汤,槐角丸,
龙胆泻肝汤主要用于治疗哪种证型的吐血,B,胃热壅盛,肝火犯胃,胃火炽盛,气虚血溢,
吐血之胃热壅盛证应选用哪种方药,D,地榆散或槐角丸加减,归脾汤加减,龙胆泻肝汤加减,泻心汤合十灰散加减,
便血见血色紫黯，甚则黑色，腹部隐痛，喜热饮，神倦懒言，便溏，舌质淡，脉细。治疗此类患者的方药正确的是,A,黄土汤,归脾汤,百合固金汤,地榆散,
护理吐血病人时，下列哪项不相宜,C,平卧位，头偏向一侧,保持情绪安定，遵医嘱给予凉血止血药物,饮食温软，多饮热水,大出血时可取头低脚高位,
血热妄行所致肌衄常选用哪种方药治疗,B,归脾汤,犀角地黄汤,小蓟饮子,茜根散,
尿血见小便黄赤灼热，血色鲜红，心烦口渴，面赤口疮，夜寐不安，舌质红，脉数。证属以下哪种证型,A,下焦湿热,肾虚火旺,脾不统血,气不摄血,
李某，女，近一年来周身皮肤青紫斑点时发时止，常伴齿衄，月经量多，颧红，心烦口渴，手足心热，偶有盗汗，舌质红，苔少，脉细数。此患者的治疗原则为,C,清热泻火，凉血止血,清热解毒，凉血止血,滋阴降火，宁络止血,补气摄血,
便血见血色红，大便不畅或稀溏，或有腹痛，口苦，舌质红，苔黄腻，脉濡数。此属便血的何种证型，治疗应选用哪种方药,B,气虚血溢证；治当健脾养心益气摄血,肠道湿热证；治当清化湿热凉血止血,气虚不摄证；治当益气摄血,脾胃虚寒证；治当健脾温中养血止血,
尿血与血淋的鉴别要点是,C,尿中是否有血,血液的色、质、量的不同,排尿是否伴有疼痛,是否夹杂血块,
患者王某，形体肥胖，患高血压十余年，近日常感倦怠乏力，不思饮食，大便稀溏，今日午饭后突感左前胸憋闷疼痛，窜及肩背、胃脘部，伴有喘促气短，舌苔浊腻，脉滑。该患者可能发生的是胸痹哪种证型,B,心血瘀阻证,痰浊壅塞证,阴寒凝滞证,气阴两虚证,
胸痹见胸部刺痛，固定不移，甚则心痛彻背，背痛彻心，伴有胸闷，舌质暗红，或瘀点、瘀斑、或舌下血脉青紫、苔薄，脉弦涩或结代。此证应选用哪种方药,A,血府逐瘀汤加减,瓜蒌薤白半夏汤加味,瓜蒌薤白白酒汤加减,生脉散合人参养营汤加减,
左归饮主要用于治疗胸痹哪种证型的患者,D,气阴两虚,痰浊壅塞证,阴寒凝滞证,心肾阴虚,
以下胸痹的服药护理中不妥的是,C,按时服药，注意观察服药后的疗效及有无不良反应,发作时立即予硝酸甘油片吞服，以缓解症状,水药宜浓煎，少量多次分服,静脉使用抗心律失常药及血管扩张剂时，应严格遵医嘱控制剂量及速度,
