Question,answer,A,B,C,D,E,
骨关节疼痛是白血病的。主要临床表现之一，其中以(    )部位的压痛为本病的特征。,D,肘关节,肱骨下段,胫骨下段,胸骨下段,,
治疗热邪炽盛型急性白血病的最佳选方是(    )。,C,犀角地黄汤,黄连解毒汤,清瘟败毒饮,白虎汤,,
患者壮热谵语，口渴，鼻衄，血色鲜红，舌红绛，苔黄，脉弦数，最佳选方是(    )。,B,清营汤,神犀丹,犀角地黄汤,清瘟败毒饮,,
(    )不是气阴两虚型白血病的主症。,A,壮热神昏,反复低热,自汗盗汗,舌淡脉细弱,,
瘀血内阻型慢性白血病的最佳选方是(    )。,B,少腹逐瘀汤,膈下逐瘀汤,四物汤,血府逐瘀汤,,
患者低热不退，夜热早凉，口腔糜烂，颈腋痰核肿大，口渴咽于，便血，舌红，脉细数，治宜凉血解毒，须配伍(    )。,C,滋补肝肾,益气养阴,养阴清热,清热止血,,
患者面色觥白，畏寒肢冷，皮肤紫斑，伴衄血，自汗便溏，舌淡边有齿痕，苔白润，脉弱无力，方选(    )。,A,右归丸,金匮肾气丸,济生肾气丸,附子理中丸,,
患者头晕目涩，口干舌燥，五心烦热，腰膝酸软，皮肤紫斑，舌红少苔，脉弦细，最佳选方为(    )。,B,六味地黄丸,麦味地黄丸,左归丸,鳖甲煎丸,,
下列(    )不是气血两亏型白血病的主症。,D,心悸气短,神疲体倦,出血色淡,畏寒肢冷,,
靛玉红为口服治疗慢性粒细胞性白血病的药物，是从(    )中药中提取的。,C,紫草,海藻,青黛,两面针,,
目前治疗白血病，主要采用(    )疗法。,D,针炙,手术,放疗,化疗,,
